结点信息:
初态:    1
结点编号:   0   NUMBER       
结点编号:   1   ---          
结点编号:   2   ---          
结点编号:   3   NUMBER       
结点编号:   4   NUMBER       
结点编号:   5   NUMBER       
结点编号:   6   NUMBER       
结点编号:   7   NUMBER       
结点编号:   8   NUMBER       
结点编号:   9   NUMBER       
结点编号:  10   NUMBER       
结点编号:  11   NUMBER       
结点编号:  12   NUMBER       
结点编号:  13   NUMBER       
结点编号:  14   NUMBER       
结点编号:  15   NUMBER       
结点编号:  16   NUMBER       
结点编号:  17   NUMBER       
结点编号:  18   NUMBER       
结点编号:  19   NUMBER       
结点编号:  20   NUMBER       
结点编号:  21   NUMBER       
结点编号:  22   NUMBER       
状态转移:
结点编号:   0   EQUAL        
结点编号:   1   ---          
结点编号:   2   EQUAL        
状态转移:
(  0 ,  = ,  2)
(  1 ,  = ,  0)
结点信息:
初态:    1
结点编号:   0   COMPARE      
结点编号:   1   ---          
结点编号:   2   ---          
结点编号:   3   COMPARE      
结点编号:   4   COMPARE      
结点编号:   5   COMPARE      
结点编号:   6   COMPARE      
状态转移:
(  0 ,  = ,  6)
(  1 ,  ! ,  2)
(  1 ,  < ,  0)
(  1 ,  > ,  5)
(  2 ,  = ,  3)
(  5 ,  = ,  4)
结点信息:
初态:    1
结点编号:   0   WHITESPACE   
结点编号:   1   ---          
状态转移:
(  0 ,    ,  0)
(  1 ,    ,  0)
结点信息:
初态:    1
结点编号:   0   NEWLINE      
结点编号:   1   ---          
状态转移:
(  0 ,  
 ,  0)
(  1 ,  
 ,  0)

